,snid,Redshift,SN_RA,SN_DEC,HOST_RA,HOST_DEC,dDLR,U-R,(U-R)_v3,LOGMASS,LOGMASS_lowerr,LOGMASS_uppererr,LOG10SFR,SFR,SFR_lowerr,SFR_uppererr,Notes
78,2021khn,0.072,195.7992455,-6.663225455,195.8002216,-6.6652629,2.1690932037293100,1.06232334554987,0.974,9.876,0.031,0.047,0.135,1.3645831365889200,0.166,0.16,
79,2021kly,0.04423,126.2581417,13.5348083,126.25556250000000,13.5371176,1.8273036544700000,0.734328655100498,1.039,10.591,0.157,0.194,0.89,7.762471166286920,0.722,0.293,
80,2021knh,0.03,137.5359706,-27.62405638,137.5358515008330,-27.624246321111100,0.24239393779057100,0.1322203002294630,0.516,8.7,0.151,0.146,-0.664,0.21677041048196900,1.887,0.113,
81,2021kom,0.04505,156.2094917,3.562125,156.21074300000000,3.562484,0.6162545892594240,1.0489330273518100,0.854,9.984,0.276,0.094,0.339,2.1827299118430000,4.647,0.509,
82,2021koq,0.020538,274.0042325,6.7517646,274.0111199000000,6.7468078,2.333134142442250,1.68060551892815,1.749,10.862,0.264,0.097,0.452,2.8313919957993800,0.279,0.067,
83,2021kpu,0.069,231.09059,22.42031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hostless
84,2021kre,0.07692,206.2201375,-7.1171167,206.21784460000000,-7.118339800000000,2.326153456720130,1.7057828944754300,1.688,11.088,0.327,0.081,0.01,1.023292992280750,0.575,1.003,
85,2021kut,0.031362001,157.8740542,6.2426417,157.87343,6.2437275,1.1658976965967000,0.932619939776174,0.816,9.652,0.135,0.17,-0.133,0.7362070974947360,3.641,0.873,
86,2021kxf,0.078971,204.4481125,1.3292694,204.44897810000000,1.3296735,1.2777640707363700,0.615483263127672,0.807,9.942,0.249,0.206,0.823,6.652731562017410,10.676,0.601,
87,2021lat,0.033898,220.224125,24.9716583,220.22224450000000,24.970669900000000,2.597289188918020,0.712069033628424,0.611,9.474,0.212,0.123,-0.281,0.5236004365857500,2.783,1.264,
88,2021law,0.057679,141.0346583,3.9352694,141.03580380000000,3.9347885000000000,0.8561290982242260,0.940432846995975,1.496,10.686,0.16,0.382,0.656,4.528975799036210,10.656,0.322,
89,2021lnf,0.038934,144.5076958,-16.8587639,144.50743170000000,-16.8591772,0.9590911426512870,1.06046928847397,1.755,10.254,0.044,0.356,-1.131,0.07396052750582380,8.869,1.195,
90,2021log,0.14,229.8669292,13.8495111,229.86691690000000,13.849476300000000,0.0729087855466406,1.5746319569092000,1.572,10.914,0.355,0.196,0.119,1.3152248321922400,10.119,0.619,
91,2021low,0.021958,176.1927667,20.1262,176.19601420000000,20.1250458,1.3877477696648300,1.12702766643196,1.485,10.754,0.264,0.22,0.365,2.3173946499684800,7.86,0.504,
92,2021lxb,0.0259,195.4943601,28.00854142,195.4899888,28.0058571,2.074098584882840,1.254451198228280,1.7,10.951,0.244,0.24,0.341,2.192804935350450,10.341,0.495,
93,2021ymn,0.051,77.7731125,-17.9236833,77.77625140000000,-17.9244165,2.31269021813678,0.571061733057178,1.417,10.414,0.045,0.188,0.21,1.62181009735893,6.542,0.515,
94,2021ypa,0.03438,68.9090708,-13.2230667,68.90918140000000,-13.22314,0.15352481914010000,0.754874484301709,1.69,10.048,0.121,0.218,-0.089,0.8147042840208400,1.164,0.066,
95,2021yrz,0.068,338.9579292,20.0756167,338.95746520000000,20.075759,1.0902882460025200,0.04451901354156,0.718,9.122,0.452,0.255,0.696,4.96592321450336,10.696,0.271,
96,2021yuj,0.047563,298.3817875,-22.7994944,298.3833577,-22.8035675,1.9879496731418900,0.602099366159251,1.15,10.598,0.069,0.172,0.624,4.207266283844440,0.391,0.307,
97,2021ywa,0.06744,57.8525375,-17.3287417,57.851361,-17.328902,0.8667769124685330,1.1132927685582200,1.743,10.953,0.142,0.266,-0.14,0.72443596007499,0.433,0.993,
98,2021yzz,0.0533,331.1591875,-20.2386222,331.15828570000000,-20.2384311,1.357121445742530,0.977316627561862,1.851,10.588,0.103,0.314,-0.255,0.5559042572704040,9.745,0.498,
99,2021zax,0.04,334.2772083,13.3664361,334.2792847,13.3647039,0.948724209607529,1.5811292463947100,1.572,11.233,0.268,0.194,1.172,14.859356422870100,0.915,0.044,
100,2021zdx,0.0715,46.7690667,-15.4262806,46.768934000000000,-15.424686,1.7601009731680100,1.0311847427757200,1.465,10.366,0.172,0.285,-0.097,0.7998342550070280,9.903,0.965,
101,2021zfr,0.032,45.131475,-14.9557111,45.133547800000000,-14.954175,2.2017083307969500,1.06232334554987,0.784,9.045,0.172,0.243,-0.555,0.278612116862977,9.178,1.097,
102,2021zfs,0.019623,323.1242917,5.3463,323.1243699,5.346249000000000,0.08562886280189890,1.43515894276219,1.677,9.587,0.18,0.319,-6.771,1.69433780044733e-07,3.229,6.661,
103,2021zgf,0.055284,26.3468792,-42.7002806,26.346724600000000,-42.7004536,0.3574672127137000,1.31016,2.277,10.125,0.08,0.254,-4.251,5.6104797603247e-05,5.749,2.025,
104,2021zqo,0.067,44.775275,-18.671425,44.7752249,-18.6712913,0.40883219566086000,1.3094769274844,0.812,10.574,0.084,0.086,-0.551,0.281190083039894,0.137,0.379,
105,2022aajn,0.043,107.0648292,21.0726194,107.06299740000000,21.0728616,1.8636083579166200,0.852713432641934,1.075,9.332,0.058,0.041,-2.718,0.001914255925021090,0.427,2.464,
106,2022abdh,0.019937,129.7835208,-8.8632389,129.7824849,-8.862067400000000,0.6558965650981850,1.52592234573406,1.629,10.327,0.124,0.182,-1.544,0.028575905433749500,8.456,1.835,
107,2022abgg,0.069514,35.7537083,-9.1969694,35.754105194583300,-9.197186616944440,2.678766033857180,0.9818101103579840,0.762,8.225,0.501,0.233,-1.452,0.0353183169791957,2.751,0.896,
108,2022abic,0.014593,44.7886958,-4.4711778,44.7939967,-4.4722382000000000,1.8846208416047700,1.01131023322822,1.443,10.37,0.222,0.13,-0.241,0.5741164622073280,9.759,0.674,
109,2022abid,0.01478,31.8312208,-25.4406583,31.833700600000000,-25.4419465,0.7480874446723740,0.9845446982162540,1.523,10.263,0.053,0.344,0.085,1.216186000646370,0.202,0.667,
110,2022acwj,0.016,138.6014208,-33.3374444,138.59699380000000,-33.3369632,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,N/A
111,2022acyi,0.05109,18.8083708,6.8214611,18.808197000000000,6.8212191000000000,0.31897981079724400,0.664848278343797,1.706,10.164,0.127,0.263,-0.073,0.84527884516029,9.927,0.6,
112,2022adbx,0.014571,170.64,20.6999806,170.64738700000000,20.7041,1.8101363158077900,1.33414464346787,1.968,10.468,0.122,0.386,-4.624,2.37684028662488e-05,5.376,4.814,
113,2022adpu,0.015461,174.1995125,-8.5879083,174.203251,-8.5864581,0.9892248750900210,0.864058439606765,1.554,10.517,0.147,0.229,0.515,3.273406948788380,0.542,0.064,
114,2022aduk,0.038,159.693925,-17.5618944,159.69371260000000,-17.562070900000000,0.9609695171828340,0.6793397936854720,0.63,8.224,0.182,0.07,-1.277,0.05284452517751810,0.188,1.231,
115,2022aebw,0.04,129.6946125,5.2798278,129.6944772933330,5.279644585833330,0.6973115884303320,0.2569552086971070,1.085,8.543,0.441,0.423,-0.914,0.12189895989248700,9.086,1.083,
116,2022aeed,0.072,61.8915667,-31.4719333,61.89196210000000,-31.4719104,0.34166883943250900,1.25672,1.735,10.746,0.058,0.338,-4.789,1.62554875575049e-05,5.211,5.419,
117,2022aefd,0.045375,124.2349167,-7.2568417,124.23488630000000,-7.2575706,0.4506968300105410,1.1595962544402700,2.099,10.649,0.13,0.409,-10.0,1e-10,0.0,10.472,
118,2022hqs,0.026,165.4670625,-12.4880444,165.4624972,-12.485764400000000,2.6727614589601500,1.12185735373258,1.793,10.501,0.078,0.409,0.078,1.1967405313072400,5.922,0.197,
119,2022hrs,0.0047,190.8930625,11.5766306,190.88470833333300,11.582777777777800,2.029835283269840,0.7730901578569270,1.373,9.906,0.072,0.093,-0.111,0.7744617978025190,0.54,0.475,
120,2022huw,0.044607,149.1949458,11.90865,149.19807700000000,11.905967,2.120598187292520,0.404968122993566,0.966,9.974,0.099,0.245,0.259,1.8155156627731400,7.911,0.459,
121,2022iem,0.062591,262.7129792,5.866225,262.714884,5.866401,2.8153261822061900,1.884464844058,1.568,10.964,0.351,0.022,-0.107,0.7816278045883300,0.421,0.554,
122,2022itd,0.06,273.9674167,12.0377472,273.9667496,12.0379436,0.700642714899235,1.7244819790349500,2.287,10.682,0.398,0.124,-4.591,2.56448403651772e-05,5.409,5.106,
123,2022jmr,0.04,315.0588917,-24.1144667,315.0591277,-24.1125738,2.1785113512212200,0.893611827983634,0.902,9.713,0.131,0.07,-0.285,0.5188000389289610,0.073,0.322,
124,2022jnr,0.035,225.664475,17.2398,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hostless
125,2022jut,0.034129,241.4584542,17.4798278,241.45843950000000,17.4797151,0.14946828371444400,0.936340992007899,1.817,10.142,0.202,0.329,-0.402,0.39627803425543900,9.598,0.623,
126,2022jzb,0.045291,184.09655,-18.5541972,184.0997559,-18.5595503,2.255769144851810,1.5669337868828700,1.951,11.36,0.334,0.127,-0.204,0.6251726927756860,9.796,1.312,
127,2022kck,0.046999,188.2814292,-14.490175,188.2823196,-14.490030300000000,1.3512945591443400,0.664848278343797,0.996,9.99,0.098,0.104,0.036,1.0864256236170700,0.275,0.446,
128,2022kft,0.046,174.369025,-10.8982722,174.3685811,-10.897865100000000,1.24753793114058,1.5347944770373200,1.677,9.697,0.144,0.191,-10.0,1e-10,0.0,9.402,
129,2022kjl,0.031465,210.5093708,-16.540525,210.50824640000000,-16.5406805,0.6289315697648290,1.24838282402254,2.052,10.7,0.162,0.114,-0.228,0.5915616341754740,9.772,0.157,
130,2022kkg,0.04144,305.8165625,20.2161,305.8187475,20.217066500000000,1.4360975044029800,0.981810110357984,1.637,10.793,0.108,0.195,0.61,4.073802778041130,0.486,0.26,
131,2022lax,0.058,216.2111917,-8.7529444,216.21155490000000,-8.7527499,0.719634479046764,0.829689239677833,1.767,10.07,0.092,0.289,-0.164,0.6854882264526620,9.836,0.379,
132,2022mhe,0.02874,352.0268208,8.7624667,352.0247090000000,8.768535700000000,3.2675495705829100,0.977316627561862,1.922,10.898,0.147,0.385,-4.259,5.50807696405403e-05,5.741,4.717,
133,2022mvb,0.02958,240.5391042,-6.4345278,240.53870580000000,-6.4343197000000000,0.5474770584176730,1.56460143670175,1.671,10.218,0.265,0.121,-0.408,0.39084089579240200,1.491,0.468,
134,2022myp,0.02633,205.4382875,-25.7934472,205.44217760000000,-25.7945402,1.9253187303459200,0.9044482816642580,1.764,10.556,0.086,0.336,0.192,1.5559656316050700,1.086,0.294,
135,2022nag,0.020954,271.2527167,9.4799583,271.25265220000000,9.4809981,0.2777928787767950,1.200066255769530,2.39,10.469,0.111,0.347,-10.0,1e-10,0.0,9.987,
136,2022nbm,0.057912,335.1092333,5.9918028,335.1090275000000,5.9917818,0.44532169774797500,1.25185953611523,1.992,10.246,0.148,0.395,-9.687,2.05589059598414e-10,0.313,10.052,
137,2022nim,0.042,299.111275,-16.3695694,299.1091613,-16.3708013,42.01041519403140,0.9377975351813600,0.739,10.07,0.085,0.079,-10.0,1e-10,0.0,7.288,
138,2022nrk,0.039681,346.9560208,8.4905861,346.95525070000000,8.4879027,1.276620966638400,1.2567163981612,2.034,10.782,0.108,0.4,-1.04,0.09120108393559100,8.96,1.556,
139,2022pdq,0.034304,355.4707583,-8.6464194,355.4692621,-8.6481728,0.8886346873030910,1.23975303510655,1.684,11.022,0.181,0.306,0.904,8.016780633876790,7.608,0.088,
140,2022ppj,0.036827,12.3490167,19.9964806,12.348804,19.994231900000000,1.9386306321808700,1.28457586060942,1.694,10.33,0.162,0.378,-4.351,4.45656248397503e-05,5.649,4.922,
141,2022qbp,0.05,305.6199625,-14.7090861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hostless
142,2022qke,0.074606,16.3515,-2.3125194,16.351251900000000,-2.3122698000000000,0.8732109755678910,0.977317,1.62,10.584,0.1,0.211,-0.212,0.6137620051647940,9.788,0.196,
143,2022qku,0.025,321.7322958,-7.0169472,321.74104430000000,-7.021561,3.2150412973525100,1.16789926505538,1.189,10.652,0.26,0.08,0.688,4.875284901033860,0.564,0.297,
144,2022qoa,0.061019,334.3922958,-3.5554333,334.38958000000000,-3.5545811000000000,1.8886630805566800,1.13227616249151,1.959,11.11,0.079,0.461,0.206,1.6069412530128800,10.206,0.929,
145,2022qpp,0.013,291.9650125,-35.0448028,291.963265,-35.0484703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,N/A
